decorate_like_oh_-1,3
toilet_num_oh_0,3
room_num_like_oh_-1,3
traffic_oh_1,3
pm_prop_zf_d_hq_sum_oh_1,3
vppv_valid_zf_j_sum_oh_1,3
pass_videos_sum_oh_1,3
new_pm_prop_zf_sum_oh_1,3
nopass_videos_sum_oh_1,3
paymoney_num_oh_5,2
is_dlwsj_1,2
recharge_amount_sum_oh_1,2
consume_amount_real_zf_sum_oh_1,2
subway_oh_1,2
is_elevator_1,2
video_vppv_valid_sum_oh_1,2
upload_videos_sum_oh_1,2
video_vppv_valid_j_sum_oh_1,1
is_qzqp_0,1
vppv_valid_zf_d_app_sum_oh_0,1
company_recharge_times_sum_oh_0,1
vppv_valid_zf_d_app_sum_oh_1,1
vppv_valid_zf_d_sum_oh_0,1
vppv_valid_zf_j_app_sum_oh_1,1
is_jdqq_1,1
video_prop_pm_j_sum_oh_1,1
company_recharge_times_sum_oh_1,1
is_highquality_1,1
video_prop_pm_sum_oh_1,1
pro_area_id_oh_0,1
is_pm_1,1
person_recharge_times_sum_oh_0,1
is_pm_d_0,1
is_qxzx_1,1
paymoney_num_oh_4,1
